Lines,Lon,VehicleNumber,Time,Lat,Brigade
331,20.995331,1993,2024-02-16 19:54:19,52.186403,04
331,20.995342,1994,2024-02-16 20:14:32,52.186329,05
331,20.9952892,1996,2024-02-16 21:32:16,52.1862274,02
166,20.995321,1997,2024-02-16 21:22:04,52.186493,010
119,20.995273,1998,2024-02-16 16:00:30,52.186203,07
165,20.9963742,2000,2024-02-16 21:34:40,52.1876054,2
709,20.996304,2001,2024-02-16 21:44:06,52.175938,9
189,21.015663,2002,2024-02-16 21:44:04,52.189079,8
402,21.0495579,2004,2024-02-16 21:44:08,52.1954912,1
402,20.9935271,2005,2024-02-16 21:44:08,52.1789854,8
319,20.9967542,2006,2024-02-08 11:45:23,52.1857972,03
402,20.9980152,2007,2024-02-16 19:49:28,52.1859487,012
504,21.0361947,2008,2024-02-16 21:44:08,52.1504704,2
739,20.99511,2009,2024-02-16 13:11:09,52.187607,09
162,20.995119,2010,2024-02-16 20:05:33,52.187637,015
739,20.997061,2012,2024-02-16 12:21:06,52.186321,012
189,20.9970121,2013,2024-02-16 19:42:13,52.1862981,027
522,21.012836,2014,2024-02-16 21:44:06,52.227791,3
522,20.9964062,2016,2024-02-16 19:39:42,52.1878082,011
401,20.996638,2017,2024-02-16 19:00:16,52.186871,029
L50,21.077707,20174,2024-02-16 21:36:34,52.2680803,2
522,20.9970322,2018,2024-02-16 18:22:52,52.1876286,012
189,20.9153419,2019,2024-02-16 21:44:07,52.2290334,1
522,21.045542,2020,2024-02-16 21:44:04,52.191311,2
189,20.9970559,2021,2024-02-16 17:10:56,52.1868989,021
174,20.995415,2022,2024-02-16 21:44:07,52.170132,371
189,21.028835,2023,2024-02-16 21:44:09,52.173435,5
525,20.9972365,2024,2024-02-16 16:58:04,52.1869064,1
162,20.9972747,2025,2024-02-16 19:50:03,52.1878165,014
165,21.001822,2026,2024-02-16 21:44:08,52.178204,3
525,20.996651,2027,2024-02-16 21:36:50,52.187794,1
709,20.99658,2028,2024-02-16 19:19:25,52.185947,429
217,20.9966649,2029,2024-02-16 21:44:08,52.1862926,2
522,20.996214,2030,2024-02-16 18:49:57,52.187725,013
189,20.9142979,2031,2024-02-16 21:44:07,52.2000679,14
172,20.955469,2032,2024-02-16 21:44:04,52.212076,3
189,20.9973959,2033,2024-02-16 13:48:24,52.1874204,9
522,20.9979522,2034,2024-02-16 19:32:34,52.1876954,010
710,20.9964249,2036,2024-02-16 13:33:39,52.1868675,08
401,20.9967904,2037,2024-02-16 19:33:23,52.1869229,012
189,20.9972879,2038,2024-02-16 20:50:44,52.1878286,021
501,21.002661,2039,2024-02-16 21:43:55,52.228956,2
401,20.997267,2040,2024-02-16 19:30:15,52.187717,022
189,21.0269997,2041,2024-02-16 21:44:08,52.1733497,12
401,20.996571,2042,2024-02-15 16:41:16,52.187561,022
522,21.0801069,2044,2024-02-16 21:44:09,52.1575962,7
174,20.997011,2045,2024-02-16 18:41:26,52.187695,08
522,20.99699,2046,2024-02-16 19:06:06,52.187813,09
719,20.9030024,2200,2024-02-16 21:44:08,52.2392692,2
105,20.959906,2201,2024-02-16 21:44:07,52.228214,4
317,20.991585,2202,2024-02-16 21:44:08,52.176964,2
716,20.921314,2203,2024-02-16 19:31:12,52.196426,067
717,20.922216,2204,2024-02-15 14:07:32,52.197108,068
184,20.945738,2205,2024-02-16 21:44:09,52.240822,6
171,20.92786,2206,2024-02-16 21:44:08,52.271614,452
191,20.919188,2207,2024-02-16 13:09:41,52.1967667,09
177,20.9019029,2208,2024-02-16 21:44:09,52.2391329,3
191,20.9765879,2209,2024-02-16 21:44:08,52.2113892,6
517,20.956327,2210,2024-02-16 21:44:09,52.214691,5
105,20.921161,2211,2024-02-16 20:00:26,52.19644,010
136,20.920284,2212,2024-02-16 19:41:43,52.197054,015
401,20.921469,2214,2024-02-16 00:35:53,52.197066,1
105,20.921873,2216,2024-02-16 20:22:50,52.196264,09
148,20.922003,2217,2024-02-16 21:09:57,52.196235,012
124,20.943474,2218,2024-02-16 21:44:07,52.175529,2
523,20.9877572,2219,2024-02-16 21:44:08,52.2162499,7
177,20.92219,2220,2024-02-16 20:31:38,52.196224,07
717,20.839533,2221,2024-02-16 21:43:57,52.176384,64
184,20.920336,2222,2024-02-13 16:22:33,52.196613,6
517,20.8845102,2223,2024-02-16 21:44:08,52.1943909,4
177,20.8973551,2224,2024-02-16 21:44:08,52.2246061,675
188,20.9217037,2225,2024-02-16 21:44:06,52.1968029,5
105,20.921679,2226,2024-02-16 20:05:18,52.196334,08
ZA1,20.921448,2227,2024-02-16 19:02:11,52.196423,01
172,20.98847,2228,2024-02-16 21:44:09,52.197651,5
172,20.919921,2229,2024-02-16 17:36:19,52.196638,2
517,20.8612544,2230,2024-02-16 21:44:06,52.1916802,3
717,20.9207997,2231,2024-02-16 17:41:32,52.1965537,65
184,20.921803,2232,2024-02-16 21:44:04,52.196892,7
523,20.920546,2233,2024-02-16 17:00:10,52.196556,017
187,20.922844,2234,2024-02-16 21:02:07,52.195869,6
317,20.923091,2235,2024-02-16 19:58:15,52.196081,06
136,21.021132,2236,2024-02-16 21:44:06,52.16135,5
171,20.92017,2237,2024-02-15 00:59:59,52.19669,4
187,20.968706,2238,2024-02-16 21:43:58,52.218673,9
105,20.922443,2239,2024-02-16 19:48:03,52.19714,012
523,20.895977,2240,2024-02-16 21:44:05,52.217033,023
716,20.921941,2241,2024-02-16 20:22:47,52.196229,01
317,20.9228271,2242,2024-02-16 21:44:09,52.1966349,07
187,21.051844,2243,2024-02-16 21:44:04,52.198307,5
184,20.9528424,2244,2024-02-16 21:44:07,52.2275042,1
743,20.922396,2246,2024-02-16 20:40:03,52.196143,1
184,20.921328,2247,2024-02-16 19:19:07,52.196398,09
105,20.8969084,2248,2024-02-16 21:44:08,52.2283897,7
177,20.921764,2249,2024-02-16 21:44:04,52.19685,6
523,20.89838,2250,2024-02-16 21:44:09,52.258461,10
401,20.921366,2251,2024-02-16 19:41:35,52.19644,010
401,20.896158,2252,2024-02-16 21:44:08,52.200436,1
186,20.921545,2253,2024-02-16 19:55:06,52.196273,015
401,20.9222,2254,2024-02-16 21:41:39,52.195779,013
105,20.9364734,2255,2024-02-16 21:44:09,52.225282,3
105,20.9221559,2256,2024-02-16 21:44:09,52.1957472,6
ZA1,20.923007,2257,2024-02-16 19:28:04,52.1961221,01
401,21.0072816,2258,2024-02-16 21:44:08,52.1776615,4
187,20.9225985,2259,2024-02-16 21:35:37,52.1970872,10
L20,21.0781095,25181,2024-02-16 19:23:40,52.2679745,1
L20,21.3300223,25183,2024-02-16 21:44:05,52.1118178,1
L22,21.2585413,25184,2024-02-16 21:44:08,52.1084883,2
L22,21.4026733,25185,2024-02-16 18:40:31,52.2014551,1
L51,21.244681,25188,2024-02-16 21:26:35,52.0831066,02
L22,21.2444631,25189,2024-02-16 17:55:19,52.0828758,03
414,21.0444411,3400,2024-02-16 21:43:53,52.2625236,09
511,20.9363006,3401,2024-02-16 21:44:03,52.2992821,2
190,21.046887,3402,2024-02-16 21:44:03,52.2648001,8
Z26,21.0468151,3403,2024-02-16 20:39:00,52.2648503,2
132,21.0604101,3404,2024-02-16 21:44:06,52.314964,3
